Hydraulic Retention Time (Days),Temperature (°C),pH,Biogas Yield (m³/Kg),CH4 (%)
14,34,6.97,0.31,30.85
7,30,6.83,0.13,3.42
15,33,6.99,0.33,35.87
28,34,7.03,0.44,62.89
5,30,6.8,0.08,6.0
29,33,6.96,0.46,62.19
14,34,6.99,0.29,31.34
21,32,7.04,0.41,49.91
15,33,7.02,0.33,37.25
20,32,7.0,0.38,48.79
24,34,7.1,0.43,56.83
21,33,7.03,0.41,50.18
29,32,7.01,0.44,61.96
22,34,7.02,0.4,51.79
27,35,7.04,0.46,62.79
27,33,7.09,0.43,61.46
5,29,6.79,0.1,5.15
18,33,6.99,0.38,44.39
23,33,7.05,0.44,55.36
5,30,6.8,0.08,4.67
3,31,6.78,0.04,5.51
19,32,6.99,0.39,46.41
13,33,6.96,0.29,25.2
4,29,6.79,0.07,4.33
13,31,6.96,0.28,26.14
13,32,6.95,0.3,25.33
5,29,6.79,0.09,4.74
23,35,7.08,0.43,54.91
11,31,6.91,0.24,13.15
9,30,6.87,0.17,4.53
28,33,7.07,0.45,61.8
14,33,7.0,0.3,31.02
13,32,6.97,0.28,25.28
8,30,6.86,0.15,3.31
15,32,6.98,0.3,36.61
15,33,6.99,0.31,36.35
17,33,7.0,0.36,43.34
30,28,6.91,0.46,61.38
26,35,7.06,0.43,60.22
0,25,6.68,0.0,0.0
26,36,7.12,0.43,60.66
5,31,6.79,0.07,5.15
3,31,6.73,0.05,6.01
5,30,6.82,0.07,4.6
0,27,6.66,0.0,0.0
12,30,6.98,0.26,19.66
9,29,6.85,0.18,5.06
26,35,7.11,0.43,60.45
9,29,6.86,0.18,5.81
10,29,6.94,0.21,8.49
7,29,6.86,0.11,3.91
20,34,6.98,0.4,48.13
10,30,6.9,0.21,9.03
17,34,6.99,0.35,42.23
5,30,6.83,0.08,5.91
22,34,7.04,0.41,51.88
19,32,6.99,0.38,46.54
26,36,7.07,0.43,61.0
13,32,6.96,0.27,24.43
0,27,6.68,0.0,0.0
19,32,7.01,0.39,46.03
19,32,6.99,0.4,48.04
30,29,6.9,0.44,60.55
19,32,6.99,0.4,47.1
9,31,6.87,0.18,6.01
14,32,6.95,0.32,31.76
30,30,6.89,0.46,61.26
20,32,7.03,0.41,48.27
13,31,6.94,0.28,24.89
18,32,7.02,0.34,44.46
27,35,7.08,0.45,62.34
11,29,6.93,0.22,13.58
4,31,6.77,0.06,5.6
21,32,7.02,0.41,49.53
23,34,7.06,0.44,55.14
30,30,6.87,0.47,61.33
4,31,6.79,0.04,6.34
7,30,6.87,0.14,3.99
14,32,7.0,0.3,31.21
5,29,6.81,0.09,5.35
29,32,6.97,0.46,61.54
27,34,7.06,0.46,61.88
1,29,6.7,0.01,2.98
0,26,6.72,0.0,0.0
29,32,6.99,0.46,62.36
16,33,7.01,0.35,40.31
14,33,6.97,0.32,31.43
23,35,7.05,0.43,54.35
26,35,7.08,0.44,61.46
26,35,7.11,0.43,61.51
2,29,6.75,0.03,4.89
28,34,7.06,0.44,63.2
17,32,6.98,0.36,42.67
18,33,6.99,0.38,44.52
26,34,7.09,0.42,61.13
20,34,6.99,0.41,47.93
11,31,6.95,0.24,13.53
0,26,6.7,0.01,0.0
23,35,7.06,0.44,55.31
30,30,6.91,0.45,60.59
11,31,6.93,0.24,12.39
23,34,7.09,0.43,54.34
4,31,6.75,0.05,5.63
16,32,7.02,0.35,39.77
7,30,6.84,0.13,3.47
15,34,6.96,0.31,35.86
7,30,6.85,0.13,3.56
29,33,7.0,0.46,62.23
27,34,7.1,0.46,61.24
4,30,6.8,0.07,6.41
0,25,6.67,0.0,0.0
23,35,7.04,0.44,55.16
25,36,7.08,0.44,59.2
9,29,6.88,0.16,5.92
10,29,6.91,0.2,9.01
25,34,7.1,0.44,59.46
30,28,6.91,0.46,60.03
23,34,7.03,0.41,55.23
10,30,6.87,0.21,8.9
8,29,6.85,0.13,4.41
1,27,6.68,0.01,2.71
16,32,7.01,0.34,40.73
4,29,6.8,0.05,5.26
1,28,6.76,0.01,3.52
7,29,6.82,0.13,4.08
27,35,7.1,0.43,61.83
26,34,7.08,0.44,61.13
9,29,6.85,0.16,5.32
23,33,7.05,0.43,54.0
23,35,7.08,0.42,54.52
2,29,6.73,0.0,0.0
23,35,7.09,0.45,54.6
13,31,6.98,0.29,25.28
10,30,6.89,0.21,8.34
29,33,6.97,0.47,61.41
17,34,6.99,0.35,43.29
5,29,6.82,0.09,4.94
19,32,6.96,0.39,45.74
25,35,7.11,0.42,59.23
26,36,7.07,0.45,61.47
11,31,6.93,0.24,12.85
8,31,6.86,0.17,4.07
24,36,7.1,0.42,56.91
24,36,7.08,0.44,56.82
8,31,6.87,0.14,3.27
15,34,7.01,0.33,36.61
14,32,6.94,0.3,31.95
12,30,6.95,0.25,17.94
6,30,6.87,0.09,4.34
15,34,7.0,0.31,36.52
13,33,6.95,0.28,24.36
17,34,7.02,0.34,43.24
12,32,6.94,0.25,19.36
9,29,6.86,0.19,6.29
1,27,6.74,0.01,3.29
12,31,6.97,0.26,18.74
14,32,7.01,0.29,31.17
8,31,6.83,0.15,4.43
12,31,6.96,0.25,18.73
27,35,7.08,0.44,61.75
9,30,6.89,0.17,5.13
26,36,7.08,0.43,60.47
20,32,6.98,0.42,48.31
12,32,6.93,0.25,18.51
9,30,6.89,0.16,5.85
3,29,6.71,0.04,5.93
13,31,6.98,0.27,25.2
24,35,7.09,0.45,57.29
9,30,6.88,0.17,4.89
4,29,6.77,0.07,5.0
9,31,6.86,0.16,5.44
7,30,6.83,0.13,3.6
13,31,6.96,0.27,24.97
26,36,7.07,0.44,61.22
15,33,7.0,0.33,36.97
8,29,6.82,0.15,3.0
18,32,6.99,0.37,44.88
1,27,6.69,0.01,3.22
28,34,7.05,0.44,61.58
6,30,6.79,0.11,4.85
10,30,6.9,0.21,8.76
0,27,6.71,0.01,0.57
20,33,7.0,0.38,48.34
24,36,7.06,0.42,56.97
3,31,6.76,0.04,6.02
19,33,6.99,0.38,47.17
20,34,7.0,0.41,48.71
18,34,7.03,0.37,44.95
19,32,6.96,0.39,46.13
11,31,6.89,0.23,12.79
18,32,7.02,0.37,44.54
14,33,6.97,0.32,31.18
28,34,7.06,0.45,62.98
1,29,6.72,0.02,4.32
2,29,6.72,0.03,5.38
18,32,7.02,0.37,45.19
19,33,7.01,0.37,46.12
24,34,7.11,0.42,57.7
4,30,6.77,0.06,5.1
24,35,7.12,0.43,57.04
16,33,6.98,0.34,40.7
20,34,7.01,0.4,49.0
6,30,6.84,0.09,2.96
11,29,6.92,0.23,12.44
2,29,6.75,0.04,4.8
27,34,7.09,0.46,62.98
16,33,6.95,0.35,40.11
1,27,6.75,0.02,4.47
23,35,7.04,0.43,54.97
10,29,6.86,0.21,8.55
4,31,6.77,0.07,5.2
30,29,6.91,0.47,59.54
4,31,6.8,0.04,6.15
25,34,7.07,0.43,59.69
30,29,6.88,0.44,59.59
22,35,7.0,0.41,53.15
13,33,6.97,0.27,25.0
29,32,6.99,0.46,61.97
25,36,7.1,0.44,59.54
20,32,7.02,0.37,48.79
16,32,7.0,0.33,40.37
10,30,6.92,0.2,8.62
24,35,7.09,0.45,57.92
11,29,6.92,0.22,13.55
30,29,6.89,0.46,60.75
5,30,6.79,0.09,4.48
28,32,7.04,0.44,62.46
19,34,7.0,0.39,46.67
14,34,6.96,0.3,31.21
10,31,6.86,0.22,8.32
15,34,7.01,0.32,36.14
23,33,7.02,0.42,54.04
11,31,6.94,0.23,13.15
17,34,6.96,0.35,42.71
1,29,6.71,0.01,3.36
8,31,6.84,0.14,4.24
28,32,7.03,0.45,62.33
23,33,7.03,0.43,55.57
2,30,6.71,0.02,5.57
16,32,7.01,0.34,40.7
18,32,7.0,0.37,45.2
17,34,7.0,0.37,42.4
11,29,6.91,0.24,12.4
17,32,6.99,0.36,42.46
8,31,6.87,0.14,3.44
29,31,6.96,0.47,62.12
5,31,6.81,0.07,4.66
22,35,7.02,0.44,52.58
4,31,6.79,0.07,5.54
22,34,7.09,0.43,52.12
26,36,7.13,0.45,60.83
2,29,6.73,0.04,5.2
22,35,7.06,0.42,52.71
2,30,6.77,0.04,5.38
3,30,6.75,0.06,7.92
29,32,7.03,0.46,63.01
16,34,7.02,0.34,40.08
22,33,7.04,0.43,52.29
22,34,7.04,0.42,53.33
26,36,7.1,0.45,60.95
18,34,6.97,0.36,45.58
19,34,6.99,0.39,46.4
14,33,6.95,0.31,32.14
8,31,6.85,0.15,4.68
16,34,7.0,0.33,39.81
23,35,7.08,0.41,54.26
24,35,7.07,0.43,56.57
2,29,6.73,0.02,6.1
25,36,7.09,0.44,58.76
2,29,6.75,0.02,5.0
6,31,6.87,0.11,4.19
15,33,7.01,0.33,36.75
27,35,7.07,0.46,62.12
24,36,7.1,0.44,56.67
22,33,7.05,0.43,52.53
4,30,6.77,0.07,4.98
17,34,7.02,0.37,42.46
29,33,7.02,0.46,61.71
24,35,7.1,0.42,57.17
26,34,7.13,0.43,60.91
2,30,6.75,0.03,4.68
1,29,6.71,0.02,3.82
2,29,6.73,0.02,5.48
24,34,7.1,0.45,57.3
26,35,7.1,0.43,60.8
13,31,6.98,0.3,25.0
13,33,6.95,0.28,25.63
30,28,6.91,0.46,60.79
26,35,7.11,0.42,61.08
11,30,6.94,0.23,13.41
27,35,7.07,0.45,61.4
11,31,6.88,0.24,12.4
14,34,7.04,0.3,30.65
10,30,6.91,0.22,7.31
22,34,7.03,0.42,51.35
0,25,6.74,0.0,0.0
18,33,6.99,0.36,45.26
10,31,6.89,0.21,9.58
11,29,6.88,0.23,12.8
20,33,6.99,0.37,47.97
26,34,7.11,0.44,60.91
0,26,6.71,0.02,0.0
21,34,7.01,0.42,49.43
20,33,7.0,0.42,48.55
12,32,6.93,0.25,18.73
8,31,6.83,0.15,4.13
19,32,6.99,0.38,47.76
16,33,7.03,0.33,40.47
29,31,6.98,0.44,61.66
23,34,7.07,0.42,54.51
19,34,7.0,0.39,47.29
7,30,6.85,0.14,3.36
23,34,7.08,0.43,55.09
24,36,7.06,0.42,57.6
24,34,7.09,0.43,57.7
11,31,6.91,0.24,12.32
26,34,7.12,0.44,60.8
1,29,6.67,0.02,3.35
21,34,7.01,0.41,50.3
10,30,6.91,0.19,8.88
9,30,6.87,0.17,4.97
26,35,7.1,0.43,60.3
13,33,6.97,0.27,25.73
24,36,7.09,0.42,57.29
1,28,6.7,0.01,3.08
3,30,6.78,0.05,6.57
11,29,6.89,0.24,12.86
23,33,7.07,0.43,55.28
9,30,6.86,0.17,4.84
7,30,6.87,0.11,4.22
4,31,6.75,0.04,6.97
19,33,7.01,0.41,47.33
2,28,6.73,0.04,5.71
20,34,6.98,0.41,48.37
9,30,6.91,0.17,6.63
25,35,7.08,0.44,58.72
27,35,7.11,0.44,61.75
0,25,6.69,0.0,0.0
24,34,7.09,0.44,57.26
22,33,7.03,0.42,52.45
5,31,6.83,0.07,4.95
19,32,7.0,0.39,46.78
14,32,7.01,0.3,30.96
20,33,7.01,0.4,48.07
16,34,7.02,0.36,40.0
8,30,6.87,0.15,3.77
22,34,7.03,0.42,53.48
27,34,7.1,0.45,61.95
23,33,7.1,0.42,54.41
22,33,7.02,0.42,51.71
8,31,6.86,0.13,4.31
13,31,6.98,0.27,24.19
4,31,6.79,0.05,5.95
0,25,6.68,0.0,0.0
19,34,6.99,0.39,46.77
14,34,7.0,0.31,31.07
17,34,6.99,0.37,43.88
9,30,6.89,0.16,5.8
16,33,7.04,0.35,40.91
5,31,6.81,0.09,4.45
2,28,6.71,0.03,5.1
6,30,6.84,0.09,5.05
9,31,6.89,0.17,5.17
16,32,7.02,0.35,39.6
30,28,6.9,0.43,60.6
6,29,6.82,0.1,4.78
24,36,7.08,0.42,57.53
18,32,7.0,0.37,45.31
22,34,7.04,0.41,52.92
28,33,7.07,0.47,62.29
19,33,6.98,0.4,46.22
6,30,6.83,0.09,4.02
21,32,7.0,0.41,50.51
0,25,6.67,0.0,0.0
19,33,7.02,0.38,47.26
7,30,6.83,0.14,3.91
21,32,7.01,0.42,50.33
2,29,6.75,0.03,4.51
25,35,7.12,0.42,59.78
4,30,6.74,0.09,5.91
19,34,7.01,0.39,46.88
4,31,6.76,0.06,5.44
15,34,7.01,0.33,36.21
12,32,6.91,0.25,18.45
12,31,6.94,0.24,19.04
2,28,6.75,0.02,5.76
11,29,6.91,0.25,13.27
9,30,6.88,0.16,4.51
21,32,7.04,0.39,49.38
0,25,6.69,0.0,0.0
23,35,7.05,0.44,55.1
13,31,7.0,0.28,25.42
8,30,6.83,0.16,3.83
9,31,6.87,0.18,5.39
6,29,6.84,0.1,4.59
3,30,6.77,0.06,5.62
1,28,6.73,0.02,3.31
4,29,6.77,0.06,5.51
10,31,6.9,0.21,7.81
27,33,7.09,0.44,61.53
16,34,6.98,0.32,41.04
2,28,6.75,0.02,5.06
13,33,6.99,0.27,25.0
20,32,6.97,0.4,48.78
17,34,7.0,0.37,43.05
26,35,7.09,0.44,60.86
0,26,6.7,0.01,0.0
6,31,6.81,0.11,3.7
22,34,7.03,0.42,52.5
16,33,6.99,0.33,40.81
18,33,6.97,0.38,45.21
9,31,6.88,0.16,6.02
2,28,6.77,0.02,5.01
21,33,7.0,0.41,50.56
12,31,6.95,0.24,18.83
26,35,7.1,0.44,60.56
3,30,6.76,0.05,5.95
30,30,6.95,0.45,60.06
15,33,6.98,0.31,36.78
20,32,6.98,0.41,47.78
14,32,7.01,0.31,30.7
29,33,6.95,0.45,61.45
16,34,6.99,0.35,39.52
24,36,7.09,0.43,57.84
18,34,6.99,0.36,44.99
24,35,7.08,0.44,57.55
3,31,6.74,0.05,5.41
16,33,7.02,0.34,40.09
4,31,6.75,0.07,5.94
23,35,7.07,0.43,54.91
4,30,6.77,0.05,5.44
4,29,6.82,0.07,6.46
4,29,6.72,0.07,4.78
7,29,6.88,0.13,4.46
3,29,6.76,0.03,5.84
6,29,6.82,0.1,4.51
15,34,7.0,0.33,36.63
28,32,7.07,0.47,62.93
14,32,6.98,0.28,30.54
20,33,6.99,0.4,47.35
10,30,6.92,0.21,7.67
9,29,6.85,0.17,6.51
16,34,7.0,0.32,39.46
12,31,6.97,0.25,18.94
29,33,7.03,0.44,61.91
0,26,6.7,0.01,0.93
23,35,7.03,0.43,54.89
30,28,6.91,0.45,59.5
14,32,7.01,0.29,30.91
3,30,6.75,0.05,5.32
6,31,6.83,0.09,4.06
25,35,7.09,0.44,60.25
22,35,7.05,0.4,54.17
6,30,6.81,0.09,3.92
25,36,7.1,0.44,59.09
18,32,6.97,0.4,45.54
26,34,7.09,0.44,60.77
24,36,7.1,0.43,57.61
25,34,7.09,0.44,58.73
2,28,6.76,0.02,4.35
3,30,6.76,0.03,6.79
22,35,7.06,0.44,52.5
19,32,6.99,0.37,47.02
11,29,6.93,0.23,12.63
2,29,6.78,0.02,5.03
30,28,6.86,0.45,60.48
12,31,6.96,0.25,19.02
26,34,7.06,0.45,61.41
1,29,6.71,0.01,3.62
4,31,6.78,0.06,6.08
17,34,7.01,0.35,42.53
30,30,6.92,0.44,59.98
10,30,6.93,0.2,8.06
5,30,6.8,0.09,4.74
1,28,6.75,0.03,2.95
1,27,6.73,0.02,3.24
22,35,7.03,0.44,53.08
22,35,7.04,0.43,52.06
19,32,7.0,0.4,46.0
4,29,6.77,0.07,5.85
13,31,6.98,0.27,25.85
19,34,7.01,0.39,47.45
30,30,6.88,0.45,60.93
7,29,6.87,0.14,3.65
8,30,6.84,0.16,3.89
25,36,7.09,0.43,58.94
21,33,7.04,0.42,50.77
0,27,6.73,0.0,0.0
24,36,7.11,0.43,57.35
27,33,7.06,0.44,62.01
23,35,7.02,0.42,56.0
7,29,6.85,0.13,3.16
21,32,7.02,0.42,50.09
19,34,7.03,0.4,46.31
25,34,7.1,0.43,58.15
19,33,6.98,0.39,45.99
19,33,6.99,0.39,46.29
18,34,6.98,0.37,45.32
5,30,6.82,0.08,5.26
19,34,7.02,0.37,46.97
2,30,6.77,0.03,5.84
10,29,6.89,0.2,8.62
1,28,6.75,0.02,4.11
26,34,7.05,0.43,60.9
12,30,6.93,0.26,18.37
19,32,7.02,0.4,46.4
24,35,7.06,0.43,57.37
1,28,6.74,0.01,3.54
14,33,7.0,0.32,30.63
11,29,6.95,0.21,14.06
27,33,7.09,0.44,61.55
14,34,6.97,0.3,31.37
14,32,6.98,0.29,31.36
26,35,7.08,0.43,61.0
20,33,6.97,0.39,48.02
20,34,7.0,0.4,47.8
22,34,7.01,0.43,53.16
5,30,6.83,0.09,4.63
7,31,6.81,0.14,4.36
21,33,7.02,0.43,50.14
8,31,6.86,0.16,4.49
28,32,7.03,0.45,61.34
0,25,6.69,0.0,0.0
14,33,6.99,0.3,31.65
13,33,6.98,0.27,25.36
4,29,6.78,0.06,4.7
21,34,6.99,0.41,50.83
27,34,7.07,0.45,62.21
15,32,7.0,0.33,35.07
3,29,6.79,0.05,6.24
19,33,6.98,0.4,47.0
22,33,7.05,0.41,51.84
20,34,7.02,0.42,48.79
12,32,6.93,0.26,19.61
1,29,6.73,0.03,3.32
28,33,7.07,0.46,62.01
21,34,7.02,0.42,50.37
24,34,7.1,0.43,57.36
13,33,7.0,0.28,24.99
0,25,6.75,0.01,0.72
3,31,6.78,0.04,6.12
24,34,7.09,0.44,57.23
7,31,6.82,0.13,3.76
6,29,6.81,0.11,4.2
23,34,7.06,0.44,55.04
3,29,6.76,0.04,6.08
23,35,7.07,0.43,54.98
24,34,7.1,0.42,57.19
14,34,6.97,0.31,31.51
20,33,7.0,0.4,47.76
6,30,6.8,0.09,4.89
12,30,6.93,0.25,19.06
17,34,7.01,0.37,43.28
20,33,6.98,0.39,47.61
29,32,6.99,0.45,61.04
11,30,6.95,0.25,13.17
20,34,7.0,0.4,47.72
23,35,7.08,0.44,54.9
30,30,6.91,0.46,61.01
5,31,6.75,0.06,4.16
25,35,7.11,0.43,59.13
10,31,6.89,0.2,8.03
20,32,7.01,0.41,48.05
3,30,6.74,0.05,6.37
22,33,7.06,0.42,52.98
13,31,6.97,0.28,24.78
19,33,6.97,0.4,46.55
17,33,6.99,0.38,43.0
15,32,6.99,0.3,36.55
20,32,6.97,0.41,47.9
0,27,6.7,0.0,0.0
24,36,7.08,0.43,57.38
21,33,7.04,0.39,50.46
28,32,7.02,0.45,62.12
28,33,7.05,0.46,62.07
21,32,7.02,0.43,50.16
2,28,6.73,0.04,5.73
16,33,6.97,0.33,41.05
0,26,6.7,0.0,0.0
15,33,7.01,0.32,35.86
12,32,6.92,0.24,19.15
30,29,6.89,0.44,60.17
30,30,6.91,0.44,59.83
14,34,6.99,0.3,31.3
3,31,6.74,0.04,5.49
18,32,6.98,0.37,45.2
24,34,7.07,0.43,56.56
8,31,6.86,0.15,4.06
15,32,6.97,0.3,36.53
15,34,7.02,0.31,35.89
18,32,7.0,0.37,44.09
20,32,6.99,0.4,48.13
30,30,6.91,0.46,60.48
15,32,7.02,0.32,36.38
4,30,6.77,0.07,6.02
5,30,6.82,0.06,4.76
25,35,7.11,0.46,58.48
18,34,6.97,0.38,45.45
22,35,7.05,0.42,51.93
30,29,6.9,0.45,60.33
20,33,7.02,0.39,48.04
8,29,6.88,0.14,3.77
23,34,7.07,0.42,54.48
18,32,7.02,0.36,44.75
13,31,6.97,0.29,24.64
18,32,7.0,0.38,45.45
30,28,6.9,0.44,60.58
23,33,7.05,0.43,54.76
22,34,6.99,0.43,53.38
4,29,6.77,0.08,5.1
24,36,7.08,0.44,56.95
22,33,7.05,0.42,52.64
2,30,6.72,0.02,5.16
22,34,7.06,0.41,51.77
29,33,6.99,0.45,62.13
2,30,6.75,0.01,5.31
25,34,7.11,0.45,59.88
27,34,7.08,0.44,62.21
21,34,7.07,0.41,50.6
24,34,7.15,0.42,57.18
15,33,7.02,0.3,36.89
15,32,7.01,0.31,36.6
13,33,6.98,0.28,24.59
11,29,6.87,0.23,12.85
23,35,7.08,0.43,54.84
16,34,6.99,0.34,40.67
20,34,7.0,0.37,48.21
19,33,6.97,0.38,46.0
15,33,7.02,0.33,36.34
21,34,7.02,0.4,51.44
18,33,7.01,0.37,44.99
10,30,6.93,0.19,6.71
27,34,7.07,0.46,61.1
8,29,6.87,0.16,3.84
17,33,7.02,0.36,42.06
17,32,6.96,0.35,43.61
20,34,7.01,0.4,47.9
9,31,6.88,0.18,4.4
22,34,7.02,0.42,52.01
12,30,6.97,0.24,18.68
4,29,6.79,0.04,5.85
27,35,7.1,0.45,62.12
24,34,7.13,0.44,57.3
26,36,7.08,0.45,60.91
30,29,6.9,0.44,60.96
3,30,6.76,0.03,5.89
12,32,6.94,0.25,18.89
18,34,7.01,0.38,44.83
16,33,7.0,0.34,40.55
20,32,6.99,0.4,47.94
15,33,7.0,0.33,36.16
22,34,7.04,0.44,52.88
10,30,6.9,0.21,8.92
10,29,6.88,0.21,9.19
24,34,7.1,0.42,57.64
1,28,6.71,0.01,3.71
5,31,6.76,0.07,5.16
17,32,6.99,0.37,42.98
10,30,6.89,0.2,7.9
8,31,6.85,0.16,4.8
24,36,7.11,0.43,56.2
3,31,6.77,0.05,5.69
15,34,7.0,0.33,36.59
0,26,6.74,0.0,0.0
1,28,6.7,0.01,3.89
22,33,7.06,0.43,53.17
26,36,7.08,0.44,61.16
17,32,7.02,0.36,43.14
16,32,7.01,0.35,40.58
13,32,6.96,0.27,24.43
13,33,6.98,0.28,25.73
26,35,7.1,0.44,60.33
15,33,7.02,0.31,37.33
9,31,6.88,0.18,4.57
2,30,6.73,0.04,5.2
30,30,6.88,0.46,60.47
3,29,6.75,0.03,4.7
27,35,7.08,0.45,61.85
23,35,7.08,0.43,54.79
22,34,7.05,0.42,52.43
2,30,6.74,0.02,4.93
8,29,6.85,0.17,4.93
12,30,6.95,0.25,18.51
5,29,6.81,0.08,6.14
16,33,6.99,0.33,40.46
8,30,6.84,0.15,3.46
5,30,6.81,0.07,4.23
28,33,7.03,0.44,62.49
21,33,7.0,0.41,50.62
26,35,7.09,0.45,61.09
18,33,6.96,0.37,45.21
16,33,7.0,0.34,39.63
13,32,6.93,0.28,24.61
7,31,6.82,0.12,2.92
18,33,6.99,0.35,44.83
5,29,6.77,0.1,5.17
6,30,6.79,0.09,2.69
14,34,6.97,0.29,30.56
22,35,7.06,0.41,52.42
3,30,6.78,0.03,5.43
30,28,6.91,0.45,60.89
26,36,7.09,0.45,61.19
30,28,6.92,0.45,60.82
17,32,7.01,0.35,43.57
28,33,7.05,0.45,61.19
7,29,6.85,0.13,3.94
22,33,7.07,0.43,52.07
29,33,7.02,0.44,62.22
6,29,6.82,0.11,4.4
28,33,7.06,0.46,62.57
16,33,7.01,0.34,40.15
2,30,6.75,0.03,5.26
2,29,6.72,0.02,6.26
26,35,7.1,0.45,61.28
0,25,6.69,0.0,0.0
7,30,6.84,0.12,4.15
24,35,7.1,0.43,57.15
17,32,6.98,0.36,43.37
23,33,7.05,0.45,54.07
15,34,6.98,0.32,36.01
5,29,6.81,0.08,4.29
6,31,6.8,0.09,4.62
0,27,6.69,0.0,0.0
28,33,7.06,0.45,62.17
20,34,7.03,0.39,48.24
23,33,7.1,0.42,55.4
23,33,7.05,0.44,55.32
0,27,6.71,0.0,0.0
8,30,6.85,0.13,3.76
20,32,7.0,0.37,48.32
6,31,6.85,0.11,4.55
30,29,6.91,0.44,60.83
17,32,7.03,0.36,43.12
8,30,6.85,0.17,3.52
9,31,6.84,0.15,5.42
26,35,7.09,0.44,60.48
4,31,6.78,0.07,5.76
20,32,7.0,0.4,48.09
7,29,6.83,0.13,3.54
13,32,6.97,0.29,25.16
16,32,7.0,0.34,40.42
5,29,6.79,0.08,5.02
15,34,7.01,0.32,35.9
0,27,6.72,0.0,0.0
0,27,6.69,0.0,0.0
25,35,7.09,0.43,59.05
18,33,6.96,0.38,45.1
14,32,6.94,0.29,31.04
4,31,6.76,0.07,5.61
3,30,6.75,0.03,5.23
28,32,7.03,0.45,62.09
1,28,6.74,0.0,0.0
2,28,6.72,0.03,4.68
0,26,6.69,0.0,0.0
11,30,6.93,0.22,12.25
21,33,6.98,0.41,50.13
4,31,6.76,0.06,4.98
10,31,6.88,0.21,7.79
4,31,6.8,0.06,5.36
15,34,7.03,0.32,35.82
9,29,6.9,0.17,5.79
5,30,6.79,0.07,4.29
25,35,7.11,0.43,58.74
9,30,6.87,0.15,6.12
24,35,7.1,0.42,56.89
26,34,7.07,0.43,61.25
10,30,6.93,0.2,8.57
19,33,7.0,0.39,46.92
8,31,6.87,0.15,4.05
20,32,7.01,0.4,47.67
25,35,7.13,0.44,59.33
12,30,6.96,0.25,18.57
0,26,6.71,0.0,0.0
23,35,7.07,0.43,54.31
8,29,6.89,0.15,4.91
6,30,6.83,0.09,4.77
15,32,7.02,0.32,37.2
29,33,7.01,0.45,62.09
22,33,7.06,0.43,51.76
2,28,6.73,0.02,5.83
11,29,6.89,0.22,12.2
4,31,6.8,0.05,4.65
19,33,6.99,0.38,46.26
30,30,6.91,0.44,60.43
29,32,7.02,0.44,62.14
12,31,6.94,0.25,18.7
5,31,6.83,0.1,6.39
0,26,6.67,0.01,0.07
23,33,7.04,0.41,55.12
30,29,6.9,0.45,61.43
6,31,6.8,0.11,4.39
3,30,6.75,0.03,5.75
3,30,6.79,0.04,5.58
12,31,6.95,0.26,18.34
0,26,6.69,0.0,0.0
22,34,7.04,0.43,51.82
6,31,6.84,0.08,4.93
13,32,6.95,0.28,25.12
3,30,6.78,0.04,5.7
24,34,7.1,0.44,56.68
26,34,7.09,0.44,60.46
2,28,6.75,0.02,5.45
23,34,7.03,0.44,54.92
27,35,7.11,0.45,61.68
13,33,6.94,0.28,24.88
4,31,6.74,0.05,5.7
5,31,6.83,0.08,4.79
18,33,7.02,0.38,45.18
15,33,7.0,0.32,37.35
27,33,7.1,0.44,60.98
14,34,6.97,0.32,31.16
29,32,6.99,0.44,61.67
24,36,7.12,0.43,56.82
3,31,6.76,0.05,5.72
19,32,6.96,0.4,46.55
16,33,6.98,0.34,40.02
24,35,7.09,0.43,57.21
15,33,7.0,0.31,36.59
21,33,7.0,0.4,50.54
6,29,6.78,0.1,4.03
28,33,7.04,0.45,62.46
7,31,6.86,0.12,3.73
7,29,6.85,0.13,2.5
24,36,7.09,0.43,56.25
13,32,6.96,0.29,25.06
9,30,6.88,0.16,5.82
12,32,6.98,0.25,18.33
3,29,6.77,0.03,6.17
29,31,6.99,0.44,62.02
27,34,7.11,0.44,62.42
1,28,6.75,0.01,2.86
30,29,6.9,0.45,60.26
21,34,6.98,0.42,50.05
18,33,6.97,0.38,44.54
6,29,6.82,0.11,4.74
8,30,6.88,0.14,4.11
8,29,6.85,0.16,4.09
7,29,6.82,0.14,4.34
22,34,7.05,0.42,52.29
17,32,7.0,0.35,43.23
17,33,7.0,0.35,43.56
24,35,7.11,0.44,56.15
28,34,7.09,0.46,62.52
22,34,7.07,0.41,53.2
10,30,6.9,0.2,7.7
19,33,6.98,0.39,46.32
22,33,7.04,0.42,52.24
12,31,6.93,0.25,19.48
13,31,6.98,0.29,24.32
6,30,6.81,0.1,4.96
12,32,6.95,0.26,19.05
3,31,6.74,0.05,5.06
3,30,6.77,0.05,6.03
27,35,7.09,0.45,62.51
9,31,6.89,0.15,4.26
5,30,6.81,0.08,4.73
22,34,7.06,0.43,52.44
14,34,7.0,0.3,30.72
27,33,7.09,0.45,61.95
17,34,7.02,0.35,43.65
8,30,6.87,0.15,4.51
13,31,6.97,0.28,25.07
7,30,6.84,0.14,4.36
9,30,6.89,0.17,6.05
20,33,6.99,0.42,48.68
26,36,7.09,0.47,60.33
28,32,7.04,0.46,62.85
11,30,6.9,0.24,12.5
16,34,7.01,0.34,40.38
5,31,6.82,0.08,4.97
9,31,6.9,0.17,4.85
